timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1742813471500,233,/home,200,OK,10.0.2.215-Thread Group Static pages 2025 1-2,text,true,,30532,454,2,2,https://uat.canararobeco.com/,229,0,51
1742813471027,1251,/home,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,30532,454,4,4,https://uat.canararobeco.com/,1231,0,822
1742813471560,768,/home,200,OK,10.0.2.92-Thread Group Static pages 2025 1-1,text,true,,30532,454,2,2,https://uat.canararobeco.com/,762,0,360
1742813472007,621,/home,200,OK,10.0.2.182-Thread Group Static pages 2025 1-1,text,true,,30532,454,2,2,https://uat.canararobeco.com/,616,0,361
1742813471626,651,/home,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,30532,454,4,4,https://uat.canararobeco.com/,641,0,224
1742813470581,1689,/home,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,30532,454,4,4,https://uat.canararobeco.com/,1682,0,1272
1742813472317,12,/Investor_assets_home/css/bootstrap_home.css-9,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,9822,674,4,4,https://uat.canararobeco.com/Investor_assets_home/css/bootstrap_home.css?v=1742469976195,12,0,0
1742813472317,10,/Investor_assets_home/css/bootstrap_home.css-9,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,9822,674,4,4,https://uat.canararobeco.com/Investor_assets_home/css/bootstrap_home.css?v=1742469976195,10,0,0
1742813472332,23,/Investor_assets_home/css/layout_home.css-10,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,90253,671,4,4,https://uat.canararobeco.com/Investor_assets_home/css/layout_home.css?v=1742469976195,13,0,0
1742813472316,56,/Investor_assets_home/css/bootstrap_home.css-9,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,8469,674,4,4,https://uat.canararobeco.com/Investor_assets_home/css/bootstrap_home.css?v=1742469976195,55,0,0
1742813472330,67,/Investor_assets_home/css/layout_home.css-10,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,61139,671,4,4,https://uat.canararobeco.com/Investor_assets_home/css/layout_home.css?v=1742469976195,63,0,0
1742813472357,70,/Investor_assets_home/css/homepage_home.css-12,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,20370,673,4,4,https://uat.canararobeco.com/Investor_assets_home/css/homepage_home.css?v=1742469976195,70,0,0
1742813472429,13,/Investor_assets_home/css/developer_home.css-13,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,28873,674,4,4,https://uat.canararobeco.com/Investor_assets_home/css/developer_home.css?v=1742469976195,12,0,0
1742813472373,70,/Investor_assets_home/css/layout_home.css-10,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,61139,671,4,4,https://uat.canararobeco.com/Investor_assets_home/css/layout_home.css?v=1742469976195,64,0,0
1742813472444,13,/Investor_assets_home/css/homepage_home.css-12,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,20370,673,4,4,https://uat.canararobeco.com/Investor_assets_home/css/homepage_home.css?v=1742469976195,12,0,0
1742813472398,65,/Investor_assets_home/css/homepage_home.css-12,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,20371,673,4,4,https://uat.canararobeco.com/Investor_assets_home/css/homepage_home.css?v=1742469976195,64,0,0
1742813472221,285,/home,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,30532,454,4,4,https://uat.canararobeco.com/,283,0,63
1742813472445,65,/Investor-assets/js/jquery-3.6.0.min.js-14,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,35236,640,4,4,https://uat.canararobeco.com/Investor-assets/js/jquery-3.6.0.min.js?v=1742469977612,62,0,0
1742813472511,10,/Investor_assets_home/css/bootstrap_home.css-9,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,8468,674,4,4,https://uat.canararobeco.com/Investor_assets_home/css/bootstrap_home.css?v=1742469976195,10,0,0
1742813472458,66,/Investor_assets_home/css/developer_home.css-13,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,20712,674,4,4,https://uat.canararobeco.com/Investor_assets_home/css/developer_home.css?v=1742469976195,65,0,0
1742813472522,16,/Investor_assets_home/css/layout_home.css-10,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,61138,671,4,4,https://uat.canararobeco.com/Investor_assets_home/css/layout_home.css?v=1742469976195,12,0,0
1742813472464,76,/Investor_assets_home/css/developer_home.css-13,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,20712,674,4,4,https://uat.canararobeco.com/Investor_assets_home/css/developer_home.css?v=1742469976195,75,0,0
1742813472542,14,/Investor-assets/js/jquery-3.6.0.min.js-14,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,44067,640,4,4,https://uat.canararobeco.com/Investor-assets/js/jquery-3.6.0.min.js?v=1742469977612,11,0,0
1742813472557,16,/Investor_assets_home/Js/vendor_home.js-15,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,56327,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/vendor_home.js?v=1742469977612,12,0,0
1742813472527,63,/Investor-assets/js/jquery-3.6.0.min.js-14,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,35235,640,4,4,https://uat.canararobeco.com/Investor-assets/js/jquery-3.6.0.min.js?v=1742469977612,61,0,0
1742813472514,86,/Investor_assets_home/Js/vendor_home.js-15,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,43669,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/vendor_home.js?v=1742469977612,83,0,0
1742813472541,64,/Investor_assets_home/css/homepage_home.css-12,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,20371,673,4,4,https://uat.canararobeco.com/Investor_assets_home/css/homepage_home.css?v=1742469976195,63,0,0
1742813472591,20,/Investor_assets_home/Js/vendor_home.js-15,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,43668,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/vendor_home.js?v=1742469977612,17,0,0
1742813472606,11,/Investor_assets_home/css/developer_home.css-13,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,20711,674,4,4,https://uat.canararobeco.com/Investor_assets_home/css/developer_home.css?v=1742469976195,10,0,0
1742813472613,7,/Investor_assets_home/Js/skrollr.min.js-16,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,10980,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/skrollr.min.js?v=1742469977612,7,0,0
1742813472618,11,/Investor-assets/js/jquery-3.6.0.min.js-14,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,35235,640,4,4,https://uat.canararobeco.com/Investor-assets/js/jquery-3.6.0.min.js?v=1742469977612,9,0,0
1742813472634,11,/Investor_assets_home/Js/vendor_home.js-15,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,56327,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/vendor_home.js?v=1742469977612,8,0,0
1742813472646,7,/Investor_assets_home/Js/skrollr.min.js-16,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,10980,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/skrollr.min.js?v=1742469977612,7,0,0
1742813472574,82,/Investor_assets_home/Js/skrollr.min.js-16,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,9829,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/skrollr.min.js?v=1742469977612,82,0,0
1742813472602,56,/Investor_assets_home/Js/skrollr.min.js-16,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,9828,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/skrollr.min.js?v=1742469977612,55,0,0
1742813472654,8,/Investor_assets_home/Js/home_new.js-17,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,5569,637,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/home_new.js?v=1742469977612,8,0,0
1742813472658,17,/Investor_assets_home/Js/home_new.js-17,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,5569,637,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/home_new.js?v=1742469977612,17,0,0
1742813472621,55,/Investor_assets_home/Js/home_new.js-17,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,5570,637,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/home_new.js?v=1742469977612,55,0,0
1742813472659,18,/Investor_assets_home/Js/home_new.js-17,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,5569,637,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/home_new.js?v=1742469977612,18,0,0
1742813472676,12,/Investor_assets_home/Js/global_home.js-18,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,14515,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/global_home.js?v=1742469977612,12,0,0
1742813472677,60,/Investor_assets_home/Js/global_home.js-18,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,14516,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/global_home.js?v=1742469977612,60,0,0
1742813472679,58,/Investor_assets_home/Js/global_home.js-18,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,14515,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/global_home.js?v=1742469977612,58,0,0
1742813472663,79,/Investor_assets_home/Js/global_home.js-18,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,14516,640,4,4,https://uat.canararobeco.com/Investor_assets_home/Js/global_home.js?v=1742469977612,79,0,0
1742813472738,19,/Investor-assets/Custom/angular.min.js-19,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,82679,639,4,4,https://uat.canararobeco.com/Investor-assets/Custom/angular.min.js?v=1742469977612,11,0,0
1742813472743,21,/Investor-assets/Custom/angular.min.js-19,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,82679,639,4,4,https://uat.canararobeco.com/Investor-assets/Custom/angular.min.js?v=1742469977612,11,0,0
1742813472689,88,/Investor-assets/Custom/angular.min.js-19,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,66380,639,4,4,https://uat.canararobeco.com/Investor-assets/Custom/angular.min.js?v=1742469977612,83,0,0
1742813472758,49,/Investor-assets/Custom/app.js-20,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,4380,631,4,4,https://uat.canararobeco.com/Investor-assets/Custom/app.js?v=1742469977612,49,0,0
1742813472738,74,/Investor-assets/Custom/angular.min.js-19,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,66380,639,4,4,https://uat.canararobeco.com/Investor-assets/Custom/angular.min.js?v=1742469977612,68,0,0
1742813472808,8,/Investor_assets_home/Js/form-validation_home.js-21,200,OK,10.0.2.43-Thread Group Static pages 2025 1-3,text,true,,5961,649,5,5,https://uat.canararobeco.com/Investor_assets_home/Js/form-validation_home.js?v=1742469977612,8,0,0
1742813472765,58,/Investor-assets/Custom/app.js-20,200,OK,10.0.2.43-Thread Group Static pages 2025 1-4,text,true,,4380,631,5,5,https://uat.canararobeco.com/Investor-assets/Custom/app.js?v=1742469977612,58,0,0
1742813472813,12,/Investor-assets/Custom/app.js-20,200,OK,10.0.2.43-Thread Group Static pages 2025 1-1,text,true,,4379,631,5,5,https://uat.canararobeco.com/Investor-assets/Custom/app.js?v=1742469977612,12,0,0
1742813472779,55,/Investor-assets/Custom/app.js-20,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,4379,631,5,5,https://uat.canararobeco.com/Investor-assets/Custom/app.js?v=1742469977612,55,0,0
1742813472835,12,/Investor_assets_home/Js/form-validation_home.js-21,200,OK,10.0.2.43-Thread Group Static pages 2025 1-2,text,true,,5961,649,5,5,https://uat.canararobeco.com/Investor_assets_home/Js/form-validation_home.js?v=1742469977612,12,0,0
